,location,my_value,pump,distance,x_index,y_index
572, 43 -  Broadwick Street,15, Tisbury Court,258.120643291,4,0
316,The Diner -  Ganton Street,8, Tisbury Court,398.975951957,4,1
908, 6 -  Green's Court,8, Tisbury Court,85.0606793112,4,2
940,Misan Fabrics -  Tyler's Court,8, Tisbury Court,116.160212746,4,3
892,Westminster Kingsway College -  Ingestre Place,7, Tisbury Court,139.133503212,4,4
596,51 -  Lexington Street,5, Tisbury Court,231.097830375,4,5
932,Inglestre Court -  Ingestre Place,5, Tisbury Court,153.798133422,4,6
1268,Busaba Eathai -  Wardour Street,5, Tisbury Court,199.589606061,4,7
1356,21-25 -  St. Anne's Court,5, Tisbury Court,265.595924578,4,8
1724, 34 -  Broadwick Street,5, Tisbury Court,266.998032442,4,9
1740,TalkTalk -  20-24,5, Tisbury Court,228.58907957,4,10
1748,TalkTalk -  20-24,5, Tisbury Court,241.025760515,4,11
1780, 34 -  Broadwick Street,5, Tisbury Court,235.780749489,4,12
1940,45 -  Fouberts Place,5, Tisbury Court,377.941006401,4,13
36,Patisserie Valerie -  Marshall Street,4, Tisbury Court,312.990392157,4,14
116, 72 -  Broadwick Street,4, Tisbury Court,346.743665911,4,15
148,68 -  Broadwick Street,4, Tisbury Court,315.604552219,4,16
372,American Apparel -  Carnaby Street,4, Tisbury Court,306.453382917,4,17
412,Polpo -  Beak Street,4, Tisbury Court,279.74781519,4,18
564,GLP -  Broadwick Street,4, Tisbury Court,264.729158405,4,19
588, 41 -  Broadwick Street,4, Tisbury Court,251.650138803,4,20
756,34 -  Great Pulteney Street,4, Tisbury Court,163.694714227,4,21
780,6 -  Great Pulteney Street,4, Tisbury Court,148.577864587,4,22
788,Bill's -  36-44,4, Tisbury Court,109.662267047,4,23
804,11a -  Lexington Street,4, Tisbury Court,125.568339134,4,24
868, 41 -  Lexington Street,4, Tisbury Court,196.000521469,4,25
1396,21-25 -  St. Anne's Court,4, Tisbury Court,269.527209224,4,26
1716, 34 -  Broadwick Street,4, Tisbury Court,266.02573894,4,27
1788, 34 -  Broadwick Street,4, Tisbury Court,238.333695034,4,28
1796, 34 -  Broadwick Street,4, Tisbury Court,244.310626296,4,29
1812,50 -  Broadwick Street,4, Tisbury Court,259.389162729,4,30
1908,Marshall Street Leisure Centre -  Marshall Street,4, Tisbury Court,341.086208497,4,31
4,Marshall Laundry & Dry Cleaning Service -  Marshall Street,3, Tisbury Court,332.950402173,4,32
68,68 -  Broadwick Street,3, Tisbury Court,350.709449773,4,33
100, 72 -  Broadwick Street,3, Tisbury Court,356.202671282,4,34
156,68 -  Broadwick Street,3, Tisbury Court,309.981699199,4,35
220,Raf Simons -  Newburgh Street,3, Tisbury Court,406.651350837,4,36
548,Stirling Court -  Marshall Street,3, Tisbury Court,279.939652431,4,37
580, 41 -  Broadwick Street,3, Tisbury Court,254.399954777,4,38
852,Soupe du Jour -  Lexington Street,3, Tisbury Court,181.517986879,4,39
900,Inglestre Court -  Ingestre Place,3, Tisbury Court,131.926088251,4,40
1004,Soho Dry Cleaners -  Berwick Street,3, Tisbury Court,168.991457101,4,41
1036, 15 -  Ingestre Place,3, Tisbury Court,195.261192729,4,42
1092, 31 -  Broadwick Street,3, Tisbury Court,224.975555208,4,43
1100, 33 -  Broadwick Street,3, Tisbury Court,227.819947809,4,44
1108, 33 -  Broadwick Street,3, Tisbury Court,230.611359271,4,45
1116,Westminster Kingsway College -  Ingestre Place,3, Tisbury Court,109.840545655,4,46
1460, 14 -  Noel Street,3, Tisbury Court,374.383115068,4,47
