,location,my_value,pump,distance,x_index,y_index
781,"(51.51197, -0.135717)",4,Bridle Lane,49.6404175137,7,0
757,"(51.511991, -0.13594)",4,Bridle Lane,49.976136697,7,1
773,"(51.512031, -0.1358)",1,Bridle Lane,55.0288419112,7,2
765,"(51.512083, -0.135858)",2,Bridle Lane,60.3393966816,7,3
789,"(51.511882, -0.135119)",4,Bridle Lane,67.1969236844,7,4
813,"(51.512162, -0.135409)",1,Bridle Lane,77.5357194202,7,5
797,"(51.51205, -0.135144)",1,Bridle Lane,78.0327985832,7,6
821,"(51.512212, -0.135472)",1,Bridle Lane,80.7441590528,7,7
741,"(51.512271, -0.13603)",1,Bridle Lane,81.4723662204,7,8
805,"(51.51225, -0.135394)",4,Bridle Lane,86.7939628591,7,9
733,"(51.512358, -0.136102)",2,Bridle Lane,91.6711582524,7,10
749,"(51.512355, -0.13631)",1,Bridle Lane,94.4378853367,7,11
725,"(51.512413, -0.136142)",1,Bridle Lane,98.1345742403,7,12
925,"(51.512215, -0.134967)",1,Bridle Lane,99.872063017,7,13
717,"(51.512465, -0.136197)",1,Bridle Lane,104.488976187,7,14
709,"(51.512449, -0.136377)",1,Bridle Lane,105.801656238,7,15
701,"(51.512491, -0.136437)",1,Bridle Lane,111.539832383,7,16
837,"(51.512575, -0.135871)",1,Bridle Lane,114.977877271,7,17
829,"(51.512573, -0.135765)",2,Bridle Lane,115.204200942,7,18
917,"(51.512198, -0.134522)",1,Bridle Lane,121.377894041,7,19
693,"(51.512615, -0.136345)",1,Bridle Lane,122.988508347,7,20
845,"(51.512672, -0.135976)",2,Bridle Lane,125.783871189,7,21
1141,"(51.512521, -0.135)",1,Bridle Lane,126.230902516,7,22
445,"(51.512319, -0.137327)",1,Bridle Lane,130.48982082,7,23
677,"(51.512654, -0.136584)",1,Bridle Lane,132.051718354,7,24
853,"(51.512727, -0.136033)",3,Bridle Lane,132.078126365,7,25
1997,"(51.511856, -0.137762)",1,Bridle Lane,132.629791423,7,26
1133,"(51.512555, -0.134896)",2,Bridle Lane,133.214009418,7,27
1117,"(51.512593, -0.134999)",3,Bridle Lane,133.237825159,7,28
453,"(51.51254, -0.13698)",1,Bridle Lane,133.245045762,7,29
685,"(51.512713, -0.136423)",1,Bridle Lane,134.899673654,7,30
437,"(51.512364, -0.137376)",1,Bridle Lane,136.362930744,7,31
429,"(51.512339, -0.13745)",1,Bridle Lane,138.417781005,7,32
1125,"(51.512585, -0.134793)",1,Bridle Lane,139.915097658,7,33
861,"(51.512794, -0.136115)",1,Bridle Lane,139.958088479,7,34
669,"(51.512723, -0.13663)",1,Bridle Lane,140.360856767,7,35
909,"(51.512532, -0.134645)",8,Bridle Lane,141.259876924,7,36
893,"(51.512765, -0.135329)",7,Bridle Lane,142.099641032,7,37
869,"(51.512846, -0.13618)",4,Bridle Lane,146.207588255,7,38
877,"(51.512879, -0.136083)",1,Bridle Lane,149.187098265,7,39
469,"(51.512692, -0.137052)",1,Bridle Lane,150.189959536,7,40
661,"(51.512868, -0.136358)",1,Bridle Lane,150.643187967,7,41
653,"(51.512729, -0.136973)",1,Bridle Lane,150.979127093,7,42
461,"(51.512649, -0.13718)",2,Bridle Lane,151.104355054,7,43
645,"(51.512782, -0.136819)",1,Bridle Lane,151.448641647,7,44
421,"(51.512374, -0.13765)",1,Bridle Lane,151.688635885,7,45
1077,"(51.512883, -0.135501)",1,Bridle Lane,151.992865406,7,46
637,"(51.51283, -0.136699)",1,Bridle Lane,153.189858433,7,47
629,"(51.512859, -0.136599)",1,Bridle Lane,153.943561224,7,48
901,"(51.512844, -0.135122)",3,Bridle Lane,155.065066121,7,49
621,"(51.51289, -0.136523)",2,Bridle Lane,155.727196109,7,50
885,"(51.512939, -0.136139)",1,Bridle Lane,156.176093503,7,51
413,"(51.512491, -0.137584)",4,Bridle Lane,156.552094046,7,52
405,"(51.512447, -0.137656)",1,Bridle Lane,157.096436812,7,53
613,"(51.512921, -0.136424)",1,Bridle Lane,157.3793524,7,54
509,"(51.512681, -0.137325)",1,Bridle Lane,159.956005475,7,55
1989,"(51.511998, -0.138123)",1,Bridle Lane,161.19923231,7,56
397,"(51.512378, -0.137818)",1,Bridle Lane,161.341654971,7,57
1069,"(51.513006, -0.135602)",1,Bridle Lane,164.361732082,7,58
501,"(51.512726, -0.137368)",1,Bridle Lane,165.745415107,7,59
605,"(51.513016, -0.13633)",2,Bridle Lane,166.457975076,7,60
1061,"(51.513048, -0.135645)",1,Bridle Lane,168.630899619,7,61
493,"(51.51278, -0.137419)",2,Bridle Lane,172.671095363,7,62
373,"(51.512428, -0.137984)",4,Bridle Lane,173.977598702,7,63
485,"(51.512765, -0.137533)",1,Bridle Lane,176.264683347,7,64
1053,"(51.513132, -0.13574)",2,Bridle Lane,177.336245396,7,65
381,"(51.512415, -0.138065)",1,Bridle Lane,177.845518137,7,66
365,"(51.512465, -0.138035)",1,Bridle Lane,179.232712917,7,67
1045,"(51.51318, -0.135762)",1,Bridle Lane,182.566348542,7,68
597,"(51.51316, -0.136493)",5,Bridle Lane,184.373181469,7,69
357,"(51.512526, -0.138096)",1,Bridle Lane,186.618210374,7,70
1037,"(51.513227, -0.135801)",3,Bridle Lane,187.648737083,7,71
933,"(51.513154, -0.135098)",5,Bridle Lane,188.186522069,7,72
517,"(51.512914, -0.137531)",2,Bridle Lane,189.272969845,7,73
389,"(51.51251, -0.138194)",1,Bridle Lane,191.160846302,7,74
1085,"(51.51327, -0.135832)",1,Bridle Lane,192.34879054,7,75
1981,"(51.512311, -0.138474)",1,Bridle Lane,196.930664556,7,76
941,"(51.513056, -0.134394)",8,Bridle Lane,198.951540025,7,77
541,"(51.513087, -0.137386)",2,Bridle Lane,199.797893067,7,78
477,"(51.512957, -0.137695)",1,Bridle Lane,199.963729657,7,79
557,"(51.513187, -0.137089)",1,Bridle Lane,200.23333868,7,80
549,"(51.513122, -0.137306)",3,Bridle Lane,200.431314256,7,81
565,"(51.513214, -0.136996)",4,Bridle Lane,200.486583958,7,82
573,"(51.513249, -0.136859)",15,Bridle Lane,200.815988637,7,83
957,"(51.513098, -0.134437)",1,Bridle Lane,201.381775002,7,84
581,"(51.513271, -0.136778)",3,Bridle Lane,201.396352725,7,85
533,"(51.513074, -0.137466)",1,Bridle Lane,201.459934118,7,86
525,"(51.513046, -0.137562)",2,Bridle Lane,202.508623948,7,87
589,"(51.5133, -0.136705)",4,Bridle Lane,203.060316708,7,88
949,"(51.513165, -0.134505)",2,Bridle Lane,205.528677352,7,89
1109,"(51.513402, -0.136228)",3,Bridle Lane,208.048850342,7,90
965,"(51.513238, -0.134594)",1,Bridle Lane,209.919781625,7,91
1101,"(51.513431, -0.13614)",3,Bridle Lane,210.725740814,7,92
1093,"(51.513459, -0.136049)",3,Bridle Lane,213.472575716,7,93
157,"(51.513055, -0.137811)",3,Bridle Lane,213.513346162,7,94
973,"(51.513293, -0.13464)",2,Bridle Lane,214.092907719,7,95
45,"(51.513184, -0.137537)",2,Bridle Lane,214.454759482,7,96
1837,"(51.513359, -0.136953)",2,Bridle Lane,214.521931994,7,97
1829,"(51.513404, -0.136877)",3,Bridle Lane,217.576060726,7,98
1821,"(51.513429, -0.136764)",1,Bridle Lane,217.985348134,7,99
1021,"(51.513481, -0.135344)",2,Bridle Lane,219.391364631,7,100
1813,"(51.513458, -0.136675)",4,Bridle Lane,219.536051932,7,101
997,"(51.513475, -0.135244)",2,Bridle Lane,220.107735422,7,102
1805,"(51.513482, -0.136579)",1,Bridle Lane,220.650169305,7,103
149,"(51.513111, -0.137865)",4,Bridle Lane,220.733234017,7,104
1005,"(51.513422, -0.134897)",3,Bridle Lane,220.870562717,7,105
981,"(51.513379, -0.134709)",1,Bridle Lane,220.969778944,7,106
1845,"(51.513378, -0.13723)",1,Bridle Lane,223.627562734,7,107
37,"(51.513204, -0.137767)",4,Bridle Lane,225.057123812,7,108
989,"(51.513431, -0.134756)",2,Bridle Lane,225.140978794,7,109
341,"(51.512831, -0.138427)",1,Bridle Lane,225.568879696,7,110
1013,"(51.513528, -0.135158)",1,Bridle Lane,227.186386092,7,111
141,"(51.513178, -0.137924)",1,Bridle Lane,229.138912006,7,112
1797,"(51.513603, -0.136217)",4,Bridle Lane,230.234206006,7,113
29,"(51.513262, -0.137812)",1,Bridle Lane,232.142400575,7,114
1029,"(51.513594, -0.135063)",2,Bridle Lane,235.908677338,7,115
1789,"(51.513672, -0.135992)",4,Bridle Lane,237.033878002,7,116
21,"(51.513317, -0.137853)",1,Bridle Lane,238.800534496,7,117
1253,"(51.513597, -0.134923)",1,Bridle Lane,238.861830681,7,118
1781,"(51.513692, -0.135905)",5,Bridle Lane,239.20683423,7,119
349,"(51.512885, -0.138624)",1,Bridle Lane,239.979038252,7,120
117,"(51.513116, -0.138337)",4,Bridle Lane,242.579242554,7,121
1773,"(51.513726, -0.135814)",1,Bridle Lane,243.096942799,7,122
13,"(51.513361, -0.137883)",2,Bridle Lane,244.021962034,7,123
1149,"(51.513137, -0.133483)",1,Bridle Lane,245.131642967,7,124
1869,"(51.513565, -0.137367)",1,Bridle Lane,246.502562927,7,125
61,"(51.513328, -0.138045)",2,Bridle Lane,247.522427184,7,126
1765,"(51.513766, -0.135679)",3,Bridle Lane,247.998256215,7,127
109,"(51.513169, -0.138378)",1,Bridle Lane,248.813887047,7,128
5,"(51.513418, -0.13793)",3,Bridle Lane,251.105831229,7,129
1757,"(51.513795, -0.135582)",3,Bridle Lane,251.753819998,7,130
1877,"(51.513616, -0.137422)",2,Bridle Lane,253.24321335,7,131
1205,"(51.513524, -0.134091)",2,Bridle Lane,254.421764414,7,132
1229,"(51.513704, -0.134704)",1,Bridle Lane,254.899732241,7,133
101,"(51.513216, -0.138426)",3,Bridle Lane,254.906983121,7,134
1741,"(51.513821, -0.135485)",5,Bridle Lane,255.340901951,7,135
1165,"(51.513152, -0.133296)",2,Bridle Lane,255.428844756,7,136
53,"(51.513359, -0.1382)",2,Bridle Lane,256.79163603,7,137
69,"(51.513323, -0.138276)",3,Bridle Lane,256.977405529,7,138
1181,"(51.513544, -0.133998)",1,Bridle Lane,259.609381471,7,139
1909,"(51.513502, -0.137995)",4,Bridle Lane,261.386667562,7,140
1853,"(51.513855, -0.136651)",2,Bridle Lane,262.309242715,7,141
1861,"(51.513875, -0.136503)",1,Bridle Lane,262.712179038,7,142
1157,"(51.513228, -0.133265)",1,Bridle Lane,262.931465793,7,143
1197,"(51.513637, -0.134156)",2,Bridle Lane,263.26453262,7,144
77,"(51.513427, -0.138223)",2,Bridle Lane,263.754072112,7,145
133,"(51.513164, -0.138698)",1,Bridle Lane,264.169105393,7,146
85,"(51.513381, -0.138337)",2,Bridle Lane,264.650847768,7,147
1189,"(51.513626, -0.134042)",1,Bridle Lane,265.968091779,7,148
1237,"(51.513831, -0.134782)",1,Bridle Lane,266.621315515,7,149
125,"(51.51324, -0.138645)",1,Bridle Lane,267.39939883,7,150
1885,"(51.513742, -0.137472)",3,Bridle Lane,267.459401448,7,151
1901,"(51.513772, -0.137363)",1,Bridle Lane,267.591607187,7,152
1733,"(51.513945, -0.13617)",2,Bridle Lane,267.920381357,7,153
1725,"(51.51396, -0.136099)",5,Bridle Lane,269.312081396,7,154
1221,"(51.513724, -0.13422)",1,Bridle Lane,269.900638318,7,155
1245,"(51.513915, -0.13501)",1,Bridle Lane,271.452085689,7,156
