,year,country,my_value,x_index,y_index
0,"(1901, 1911]",Austria,2.0,0,13
1,"(1901, 1911]",Belgium,3.0,0,14
2,"(1901, 1911]",Canada,0.0,0,12
3,"(1901, 1911]",Denmark,2.0,0,10
4,"(1901, 1911]",France,9.0,0,2
5,"(1901, 1911]",Germany,13.0,0,1
6,"(1901, 1911]",Hungary,1.0,0,15
7,"(1901, 1911]",Israel,0.0,0,11
8,"(1901, 1911]",Italy,4.0,0,8
9,"(1901, 1911]",Japan,0.0,0,5
10,"(1901, 1911]",Netherlands,4.0,0,6
11,"(1901, 1911]",Norway,1.0,0,9
12,"(1901, 1911]",Russia,2.0,0,7
13,"(1901, 1911]",Spain,2.0,0,16
14,"(1901, 1911]",Sweden,4.0,0,3
15,"(1901, 1911]",Switzerland,3.0,0,4
16,"(1901, 1911]",United Kingdom,5.0,0,0
17,"(1911, 1921]",Austria,0.0,1,13
18,"(1911, 1921]",Belgium,2.0,1,14
19,"(1911, 1921]",Canada,0.0,1,12
20,"(1911, 1921]",Denmark,3.0,1,10
21,"(1911, 1921]",France,7.0,1,2
22,"(1911, 1921]",Germany,7.0,1,1
23,"(1911, 1921]",Hungary,1.0,1,15
24,"(1911, 1921]",Israel,0.0,1,11
25,"(1911, 1921]",Italy,0.0,1,8
26,"(1911, 1921]",Japan,0.0,1,5
27,"(1911, 1921]",Netherlands,1.0,1,6
28,"(1911, 1921]",Norway,2.0,1,9
29,"(1911, 1921]",Russia,0.0,1,7
30,"(1911, 1921]",Spain,0.0,1,16
31,"(1911, 1921]",Sweden,3.0,1,3
32,"(1911, 1921]",Switzerland,4.0,1,4
33,"(1911, 1921]",United Kingdom,4.0,1,0
34,"(1921, 1931]",Austria,3.0,2,13
35,"(1921, 1931]",Belgium,0.0,2,14
36,"(1921, 1931]",Canada,2.0,2,12
37,"(1921, 1931]",Denmark,2.0,2,10
38,"(1921, 1931]",France,6.0,2,2
39,"(1921, 1931]",Germany,12.0,2,1
40,"(1921, 1931]",Hungary,1.0,2,15
41,"(1921, 1931]",Israel,0.0,2,11
42,"(1921, 1931]",Italy,1.0,2,8
43,"(1921, 1931]",Japan,0.0,2,5
44,"(1921, 1931]",Netherlands,2.0,2,6
45,"(1921, 1931]",Norway,2.0,2,9
46,"(1921, 1931]",Russia,0.0,2,7
47,"(1921, 1931]",Spain,1.0,2,16
48,"(1921, 1931]",Sweden,5.0,2,3
49,"(1921, 1931]",Switzerland,0.0,2,4
50,"(1921, 1931]",United Kingdom,7.0,2,0
51,"(1931, 1941]",Austria,2.0,3,13
52,"(1931, 1941]",Belgium,1.0,3,14
53,"(1931, 1941]",Canada,0.0,3,12
54,"(1931, 1941]",Denmark,0.0,3,10
55,"(1931, 1941]",France,4.0,3,2
56,"(1931, 1941]",Germany,6.0,3,1
57,"(1931, 1941]",Hungary,1.0,3,15
58,"(1931, 1941]",Israel,0.0,3,11
59,"(1931, 1941]",Italy,2.0,3,8
60,"(1931, 1941]",Japan,0.0,3,5
61,"(1931, 1941]",Netherlands,1.0,3,6
62,"(1931, 1941]",Norway,0.0,3,9
63,"(1931, 1941]",Russia,0.0,3,7
64,"(1931, 1941]",Spain,0.0,3,16
65,"(1931, 1941]",Sweden,0.0,3,3
66,"(1931, 1941]",Switzerland,2.0,3,4
67,"(1931, 1941]",United Kingdom,11.0,3,0
68,"(1941, 1951]",Austria,1.0,4,13
69,"(1941, 1951]",Belgium,0.0,4,14
70,"(1941, 1951]",Canada,0.0,4,12
71,"(1941, 1951]",Denmark,2.0,4,10
72,"(1941, 1951]",France,2.0,4,2
73,"(1941, 1951]",Germany,3.0,4,1
74,"(1941, 1951]",Hungary,1.0,4,15
75,"(1941, 1951]",Israel,0.0,4,11
76,"(1941, 1951]",Italy,0.0,4,8
77,"(1941, 1951]",Japan,1.0,4,5
78,"(1941, 1951]",Netherlands,0.0,4,6
79,"(1941, 1951]",Norway,0.0,4,9
80,"(1941, 1951]",Russia,0.0,4,7
81,"(1941, 1951]",Spain,0.0,4,16
82,"(1941, 1951]",Sweden,2.0,4,3
83,"(1941, 1951]",Switzerland,4.0,4,4
84,"(1941, 1951]",United Kingdom,11.0,4,0
85,"(1951, 1961]",Austria,0.0,5,13
86,"(1951, 1961]",Belgium,1.0,5,14
87,"(1951, 1961]",Canada,1.0,5,12
88,"(1951, 1961]",Denmark,0.0,5,10
89,"(1951, 1961]",France,5.0,5,2
90,"(1951, 1961]",Germany,4.0,5,1
91,"(1951, 1961]",Hungary,1.0,5,15
92,"(1951, 1961]",Israel,0.0,5,11
93,"(1951, 1961]",Italy,2.0,5,8
94,"(1951, 1961]",Japan,0.0,5,5
95,"(1951, 1961]",Netherlands,1.0,5,6
96,"(1951, 1961]",Norway,0.0,5,9
97,"(1951, 1961]",Russia,5.0,5,7
98,"(1951, 1961]",Spain,1.0,5,16
99,"(1951, 1961]",Sweden,1.0,5,3
100,"(1951, 1961]",Switzerland,1.0,5,4
101,"(1951, 1961]",United Kingdom,10.0,5,0
102,"(1961, 1971]",Austria,1.0,6,13
103,"(1961, 1971]",Belgium,0.0,6,14
104,"(1961, 1971]",Canada,1.0,6,12
105,"(1961, 1971]",Denmark,0.0,6,10
106,"(1961, 1971]",France,7.0,6,2
107,"(1961, 1971]",Germany,5.0,6,1
108,"(1961, 1971]",Hungary,0.0,6,15
109,"(1961, 1971]",Israel,1.0,6,11
110,"(1961, 1971]",Italy,1.0,6,8
111,"(1961, 1971]",Japan,2.0,6,5
112,"(1961, 1971]",Netherlands,1.0,6,6
113,"(1961, 1971]",Norway,3.0,6,9
114,"(1961, 1971]",Russia,4.0,6,7
115,"(1961, 1971]",Spain,0.0,6,16
116,"(1961, 1971]",Sweden,4.0,6,3
117,"(1961, 1971]",Switzerland,0.0,6,4
118,"(1961, 1971]",United Kingdom,12.0,6,0
119,"(1971, 1981]",Austria,1.0,7,13
120,"(1971, 1981]",Belgium,3.0,7,14
121,"(1971, 1981]",Canada,0.0,7,12
122,"(1971, 1981]",Denmark,2.0,7,10
123,"(1971, 1981]",France,1.0,7,2
124,"(1971, 1981]",Germany,4.0,7,1
125,"(1971, 1981]",Hungary,0.0,7,15
126,"(1971, 1981]",Israel,1.0,7,11
127,"(1971, 1981]",Italy,1.0,7,8
128,"(1971, 1981]",Japan,3.0,7,5
129,"(1971, 1981]",Netherlands,1.0,7,6
130,"(1971, 1981]",Norway,1.0,7,9
131,"(1971, 1981]",Russia,3.0,7,7
132,"(1971, 1981]",Spain,1.0,7,16
133,"(1971, 1981]",Sweden,5.0,7,3
134,"(1971, 1981]",Switzerland,3.0,7,4
135,"(1971, 1981]",United Kingdom,16.0,7,0
136,"(1981, 1991]",Austria,0.0,8,13
137,"(1981, 1991]",Belgium,0.0,8,14
138,"(1981, 1991]",Canada,2.0,8,12
139,"(1981, 1991]",Denmark,1.0,8,10
140,"(1981, 1991]",France,4.0,8,2
141,"(1981, 1991]",Germany,10.0,8,1
142,"(1981, 1991]",Hungary,1.0,8,15
143,"(1981, 1991]",Israel,0.0,8,11
144,"(1981, 1991]",Italy,1.0,8,8
