PAID,DATE,NGB Name,SPORT,Budget
"54,500.00",09/04/2009,British Curling Association,Curling,Lottery
"39,000.00",09/04/2009,British Bob Skeleton Association,Skeleton,Lottery
"12,250.00",09/04/2009,British Curling Association,Wheelchair Curling,Exchequer
"4,500.00",09/04/2009,British Performance Basketball Ltd,Basketball,Exchequer
"8,000.00",09/04/2009,Disability Snowsport UK,Paralympic Skiing,Exchequer
"15,000.00",09/04/2009,National Ice Skating Association,Figure Skating,Exchequer
"40,000.00",09/04/2009,National Ice Skating Association,Speed Skating,Exchequer
"20,000.00",09/04/2009,British Bobsleigh Ltd,Bobsleigh,Exchequer
"745,000.00",09/04/2009,Sports Aid,,Exchequer
"29,986.00",09/04/2009,British Swimming,Para Swimming,Lottery
"17,408.00",09/04/2009,British Swimming,Para Swimming,Lottery
"33,333.00",09/04/2009,British Swimming,Swimming,Exchequer
"21,424.00",09/04/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"19,142.00",09/04/2009,British Equestrian Federation,Equestrian,Lottery
"203,326.00",09/04/2009,British Swimming,Swimming,Exchequer
"52,206.00",09/04/2009,British Swimming,Diving,Exchequer
"50,514.00",09/04/2009,British Swimming,Diving,Lottery
"122,463.00",09/04/2009,England Hockey,Hockey,Exchequer
"231,997.00",09/04/2009,British Volleyball Federation,Volleyball,Lottery
"69,383.00",09/04/2009,British Volleyball Federation,Paralympic Volleyball,Lottery
"4,942.00",09/04/2009,British Rowing,Rowing - Adaptive,Lottery
"38,283.00",09/04/2009,British Rowing,Rowing,Lottery
"32,496.00",09/04/2009,Uk Athletics,Disability Athletics,Lottery
"415,954.00",09/04/2009,Uk Athletics,Athletics,Lottery
"12,400.00",09/04/2009,Uk Athletics,Athletics,Lottery
"43,952.00",09/04/2009,British Swimming,Synchronised Swimming,Lottery
"5,217.00",09/04/2009,British Swimming,Diving,Lottery
"26,987.00",09/04/2009,British Swimming,Synchronised Swimming,Exchequer
"93,667.00",09/04/2009,British Performance Basketball Ltd,Basketball,Exchequer
"74,376.00",09/04/2009,Badminton England,Badminton,Exchequer
"90,716.00",09/04/2009,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"20,535.00",09/04/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"4,867.00",09/04/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"66,384.00",09/04/2009,British Judo Association,Judo,Exchequer
"67,311.00",09/04/2009,British Judo Association,Judo,Lottery
"8,064.00",09/04/2009,British Judo Association,Judo - Visually Impaired,Lottery
"9,441.00",09/04/2009,British Judo Association,Judo - Visually Impaired,Exchequer
"33,665.00",09/04/2009,Grand National Archery Society,Archery,Lottery
"14,167.00",09/04/2009,Grand National Archery Society,Archery - Paralympic,Lottery
"50,693.00",09/04/2009,British Shooting,Target Shooting,Lottery
"247,752.00",09/04/2009,British Handball Association,Handball,Lottery
"117,812.00",09/04/2009,British Amateur Boxing Association Ltd,Boxing,Lottery
"23,046.00",09/04/2009,Great Britain Boccia,Boccia,Lottery
"16,029.00",09/04/2009,Great Britain Boccia,Boccia,Exchequer
"54,333.00",09/04/2009,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"23,789.00",09/04/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"14,147.00",09/04/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"38,187.00",09/04/2009,Sport Taekwondo Limited,Taekwondo,Exchequer
