Medal,Athlete,Discipline,Event,Gender,Edition
Gold,Denis Gargaud Chanut,Canoeing,Men's slalom C-1,Male,2016
Gold,"Karim Laghouag
Mathieu Lemoine
Astier Nicolas
Thibaut Vallette",Equestrian,Team eventing,Mixte,2016
Gold,"Jérémie Azou
Pierre Houin",Rowing,Men's lightweight double sculls,Male,2016
Gold,Émilie Andéol,Judo,Women's +78 kg,Female,2016
Gold,Teddy Riner,Judo,Men's +100 kg,Male,2016
Gold,"Yannick Borel
Gauthier Grumier
Daniel Jerent
Jean-Michel Lucenay*",Fencing,Men's team épée,Male,2016
Gold,Charline Picon,Sailing,Women's RS:X,Female,2016
Gold,"Philippe Rozier
Kevin Staut
Roger-Yves Bost
Pénélope Leprevost",Equestrian,Team jumping,Mixte,2016
Gold,Estelle Mossely,Boxing,Women's lightweight,Female,2016
Silver,"Fabien Gilot
Florent Manaudou
Mehdy Metella
William Meynard*
Clément Mignon*
Jérémy Stravius",Swimming,Men's 4 × 100 m freestyle relay,Male,2016
Silver,Astier Nicolas,Equestrian,Individual eventing,Mixte,2016
Silver,Clarisse Agbegnenou,Judo,Women's 63 kg,Female,2016
Silver,Audrey Tcheuméo,Judo,Women's 78 kg,Female,2016
Silver,Jean-Charles Valladont,Archery,Men's individual,Male,2016
Silver,"Jérémy Cadot
Erwann Le Péchoux
Enzo Lefort
Jean-Paul Tony Helissey",Fencing,Men's team foil,Male,2016
Silver,Florent Manaudou,Swimming,Men's 50 m freestyle,Male,2016
Silver,Jean Quiquampoix,Shooting,Men's 25 m rapid fire pistol,Male,2016
Silver,Renaud Lavillenie,Athletics,Men's pole vault,Male,2016
Silver,Mélina Robert-Michon,Athletics,Women's discus throw,Female,2016
Silver,Sofiane Oumiha,Boxing,Men's lightweight,Male,2016
Silver,Kévin Mayer,Athletics,Men's decathlon,Male,2016
Silver,Élodie Clouvel,Modern pentathlon,Women's pentathlon,Female,2016
Silver,Haby Niaré,Taekwondo,Women's 67 kg,Female,2016
Silver,Maxime Beaumont,Canoeing,Men's K-1 200 m,Male,2016
Silver,Sarah Ourahmoune,Boxing,Women's flyweight,Female,2016
Silver,"Camille Ayglon
Chloé Bulleux
Blandine Dancette
Siraba Dembélé
Béatrice Edwige
Laura Glauser
Manon Houette
Alexandra Lacrabère
Laurisa Landre
Amandine Leynaud
Gnonsiane Niombla
Estelle Nze Minko
Allison Pineau
Grace Zaadi",Handball,Women's tournament,Female,2016
Bronze,Gauthier Grumier,Fencing,Men's épée,Male,2016
Bronze,"Gauthier Klauss
Matthieu Péché",Canoeing,Men's C-2,Male,2016
Bronze,"Grégory Baugé
Michaël D'Almeida
François Pervis",Cycling,Men's team sprint,Male,2016
Bronze,Cyrille Maret,Judo,Men's 78 kg,Male,2016
Bronze,"Thomas Baroukh
Thibault Colard
Guillaume Raineau
Franck Solforosi",Rowing,Men's lightweight coxless four,Male,2016
Bronze,Pierre Le Coq,Sailing,Men's RS:X,Male,2016
Bronze,Alexis Raynaud,Shooting,Men's 50 m rifle three positions,Male,2016
Bronze,Souleymane Cissokho,Boxing,Men's welterweight,Male,2016
Bronze,Dimitri Bascou,Athletics,Men's 110 m hurdles,Male,2016
Bronze,Mathieu Bauderlique,Boxing,Men's light heavyweight,Male,2016
Bronze,Marc-Antoine Olivier,Swimming,Men's marathon 10 kilometre,Male,2016
Bronze,Mahiedine Mekhissi-Benabbad,Athletics,Men's 3000 m steeplechase,Male,2016
Bronze,"Camille Lecointre
Hélène Defrance",Sailing,Women's 470,Female,2016
Bronze,Christophe Lemaitre,Athletics,Men's 200 m,Male,2016
