,year,country,my_value,x_index,y_index
0,"(1901, 1911]",Austria,2.0,0,14
1,"(1901, 1911]",Belgium,3.0,0,15
2,"(1901, 1911]",Canada,0.0,0,13
3,"(1901, 1911]",Denmark,2.0,0,11
4,"(1901, 1911]",France,9.0,0,3
5,"(1901, 1911]",Germany,13.0,0,2
6,"(1901, 1911]",Hungary,1.0,0,16
7,"(1901, 1911]",Israel,0.0,0,12
8,"(1901, 1911]",Italy,4.0,0,9
9,"(1901, 1911]",Japan,0.0,0,6
10,"(1901, 1911]",Netherlands,4.0,0,7
11,"(1901, 1911]",Norway,1.0,0,10
12,"(1901, 1911]",Russia,2.0,0,8
13,"(1901, 1911]",Sweden,4.0,0,4
14,"(1901, 1911]",Switzerland,3.0,0,5
15,"(1901, 1911]",United Kingdom,5.0,0,1
16,"(1911, 1921]",Austria,0.0,1,14
17,"(1911, 1921]",Belgium,2.0,1,15
18,"(1911, 1921]",Canada,0.0,1,13
19,"(1911, 1921]",Denmark,3.0,1,11
20,"(1911, 1921]",France,7.0,1,3
21,"(1911, 1921]",Germany,7.0,1,2
22,"(1911, 1921]",Hungary,1.0,1,16
23,"(1911, 1921]",Israel,0.0,1,12
24,"(1911, 1921]",Italy,0.0,1,9
25,"(1911, 1921]",Japan,0.0,1,6
26,"(1911, 1921]",Netherlands,1.0,1,7
27,"(1911, 1921]",Norway,2.0,1,10
28,"(1911, 1921]",Russia,0.0,1,8
29,"(1911, 1921]",Sweden,3.0,1,4
30,"(1911, 1921]",Switzerland,4.0,1,5
31,"(1911, 1921]",United Kingdom,4.0,1,1
32,"(1921, 1931]",Austria,3.0,2,14
33,"(1921, 1931]",Belgium,0.0,2,15
34,"(1921, 1931]",Canada,2.0,2,13
35,"(1921, 1931]",Denmark,2.0,2,11
36,"(1921, 1931]",France,6.0,2,3
37,"(1921, 1931]",Germany,12.0,2,2
38,"(1921, 1931]",Hungary,1.0,2,16
39,"(1921, 1931]",Israel,0.0,2,12
40,"(1921, 1931]",Italy,1.0,2,9
41,"(1921, 1931]",Japan,0.0,2,6
42,"(1921, 1931]",Netherlands,2.0,2,7
43,"(1921, 1931]",Norway,2.0,2,10
44,"(1921, 1931]",Russia,0.0,2,8
45,"(1921, 1931]",Sweden,5.0,2,4
46,"(1921, 1931]",Switzerland,0.0,2,5
47,"(1921, 1931]",United Kingdom,7.0,2,1
48,"(1931, 1941]",Austria,2.0,3,14
49,"(1931, 1941]",Belgium,1.0,3,15
50,"(1931, 1941]",Canada,0.0,3,13
51,"(1931, 1941]",Denmark,0.0,3,11
52,"(1931, 1941]",France,4.0,3,3
53,"(1931, 1941]",Germany,6.0,3,2
54,"(1931, 1941]",Hungary,1.0,3,16
55,"(1931, 1941]",Israel,0.0,3,12
56,"(1931, 1941]",Italy,2.0,3,9
57,"(1931, 1941]",Japan,0.0,3,6
58,"(1931, 1941]",Netherlands,1.0,3,7
59,"(1931, 1941]",Norway,0.0,3,10
60,"(1931, 1941]",Russia,0.0,3,8
61,"(1931, 1941]",Sweden,0.0,3,4
62,"(1931, 1941]",Switzerland,2.0,3,5
63,"(1931, 1941]",United Kingdom,11.0,3,1
64,"(1941, 1951]",Austria,1.0,4,14
65,"(1941, 1951]",Belgium,0.0,4,15
66,"(1941, 1951]",Canada,0.0,4,13
67,"(1941, 1951]",Denmark,2.0,4,11
68,"(1941, 1951]",France,2.0,4,3
69,"(1941, 1951]",Germany,3.0,4,2
70,"(1941, 1951]",Hungary,1.0,4,16
71,"(1941, 1951]",Israel,0.0,4,12
72,"(1941, 1951]",Italy,0.0,4,9
73,"(1941, 1951]",Japan,1.0,4,6
74,"(1941, 1951]",Netherlands,0.0,4,7
75,"(1941, 1951]",Norway,0.0,4,10
76,"(1941, 1951]",Russia,0.0,4,8
77,"(1941, 1951]",Sweden,2.0,4,4
78,"(1941, 1951]",Switzerland,4.0,4,5
79,"(1941, 1951]",United Kingdom,11.0,4,1
80,"(1951, 1961]",Austria,0.0,5,14
81,"(1951, 1961]",Belgium,1.0,5,15
82,"(1951, 1961]",Canada,1.0,5,13
83,"(1951, 1961]",Denmark,0.0,5,11
84,"(1951, 1961]",France,5.0,5,3
85,"(1951, 1961]",Germany,4.0,5,2
86,"(1951, 1961]",Hungary,1.0,5,16
87,"(1951, 1961]",Israel,0.0,5,12
88,"(1951, 1961]",Italy,2.0,5,9
89,"(1951, 1961]",Japan,0.0,5,6
90,"(1951, 1961]",Netherlands,1.0,5,7
91,"(1951, 1961]",Norway,0.0,5,10
92,"(1951, 1961]",Russia,5.0,5,8
93,"(1951, 1961]",Sweden,1.0,5,4
94,"(1951, 1961]",Switzerland,1.0,5,5
95,"(1951, 1961]",United Kingdom,10.0,5,1
96,"(1961, 1971]",Austria,1.0,6,14
97,"(1961, 1971]",Belgium,0.0,6,15
98,"(1961, 1971]",Canada,1.0,6,13
99,"(1961, 1971]",Denmark,0.0,6,11
100,"(1961, 1971]",France,7.0,6,3
101,"(1961, 1971]",Germany,5.0,6,2
102,"(1961, 1971]",Hungary,0.0,6,16
103,"(1961, 1971]",Israel,1.0,6,12
104,"(1961, 1971]",Italy,1.0,6,9
105,"(1961, 1971]",Japan,2.0,6,6
106,"(1961, 1971]",Netherlands,1.0,6,7
107,"(1961, 1971]",Norway,3.0,6,10
108,"(1961, 1971]",Russia,4.0,6,8
109,"(1961, 1971]",Sweden,4.0,6,4
110,"(1961, 1971]",Switzerland,0.0,6,5
111,"(1961, 1971]",United Kingdom,12.0,6,1
112,"(1971, 1981]",Austria,1.0,7,14
113,"(1971, 1981]",Belgium,3.0,7,15
114,"(1971, 1981]",Canada,0.0,7,13
115,"(1971, 1981]",Denmark,2.0,7,11
116,"(1971, 1981]",France,1.0,7,3
117,"(1971, 1981]",Germany,4.0,7,2
118,"(1971, 1981]",Hungary,0.0,7,16
119,"(1971, 1981]",Israel,1.0,7,12
120,"(1971, 1981]",Italy,1.0,7,9
121,"(1971, 1981]",Japan,3.0,7,6
122,"(1971, 1981]",Netherlands,1.0,7,7
123,"(1971, 1981]",Norway,1.0,7,10
124,"(1971, 1981]",Russia,3.0,7,8
125,"(1971, 1981]",Sweden,5.0,7,4
126,"(1971, 1981]",Switzerland,3.0,7,5
127,"(1971, 1981]",United Kingdom,16.0,7,1
128,"(1981, 1991]",Austria,0.0,8,14
129,"(1981, 1991]",Belgium,0.0,8,15
130,"(1981, 1991]",Canada,2.0,8,13
131,"(1981, 1991]",Denmark,1.0,8,11
132,"(1981, 1991]",France,4.0,8,3
133,"(1981, 1991]",Germany,10.0,8,2
134,"(1981, 1991]",Hungary,1.0,8,16
135,"(1981, 1991]",Israel,0.0,8,12
136,"(1981, 1991]",Italy,1.0,8,9
137,"(1981, 1991]",Japan,1.0,8,6
138,"(1981, 1991]",Netherlands,1.0,8,7
139,"(1981, 1991]",Norway,1.0,8,10
140,"(1981, 1991]",Russia,1.0,8,8
141,"(1981, 1991]",Sweden,3.0,8,4
142,"(1981, 1991]",Switzerland,3.0,8,5
143,"(1981, 1991]",United Kingdom,6.0,8,1
144,"(1991, 2001]",Austria,0.0,9,14
145,"(1991, 2001]",Belgium,0.0,9,15
146,"(1991, 2001]",Canada,4.0,9,13
147,"(1991, 2001]",Denmark,1.0,9,11
148,"(1991, 2001]",France,3.0,9,3
149,"(1991, 2001]",Germany,6.0,9,2
150,"(1991, 2001]",Hungary,1.0,9,16
151,"(1991, 2001]",Israel,2.0,9,12
152,"(1991, 2001]",Italy,1.0,9,9
153,"(1991, 2001]",Japan,3.0,9,6
154,"(1991, 2001]",Netherlands,3.0,9,7
155,"(1991, 2001]",Norway,0.0,9,10
156,"(1991, 2001]",Russia,1.0,9,8
157,"(1991, 2001]",Sweden,1.0,9,4
158,"(1991, 2001]",Switzerland,2.0,9,5
159,"(1991, 2001]",United Kingdom,9.0,9,1
160,"(2001, 2011]",Austria,2.0,10,14
161,"(2001, 2011]",Belgium,0.0,10,15
162,"(2001, 2011]",Canada,0.0,10,13
163,"(2001, 2011]",Denmark,0.0,10,11
164,"(2001, 2011]",France,6.0,10,3
165,"(2001, 2011]",Germany,5.0,10,2
166,"(2001, 2011]",Hungary,1.0,10,16
167,"(2001, 2011]",Israel,6.0,10,12
168,"(2001, 2011]",Italy,0.0,10,9
169,"(2001, 2011]",Japan,6.0,10,6
170,"(2001, 2011]",Netherlands,1.0,10,7
171,"(2001, 2011]",Norway,1.0,10,10
172,"(2001, 2011]",Russia,1.0,10,8
173,"(2001, 2011]",Sweden,1.0,10,4
174,"(2001, 2011]",Switzerland,1.0,10,5
175,"(2001, 2011]",United Kingdom,7.0,10,1
